Method,Parameter_Name,Parameter_Type,Parent,Children,Same_As_Parent,Description,Reference_of_documentation,Used_For,Used_By?,Informal_Propositions,Rules_Name,Rules_Description,Calling_Parameters,Calling_Param_Types,Supertypes,Called_from_x_as,Called_element_from_x
IfcProject,"[GlobalId, OwnerHistory, Name, Description, ObjectType, LongName, Phase, RepresentationContexts, UnitsInContext]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcLabel ? FIX, IfcLabel ? FIX, IfcRepresentationContext S[1:?]?, IfcUnitAssignment ?]",IfcContext,NULL,TRUE,"IfcProject indicates the undertaking of some design, engineering, construction, or maintenance activities leading towards a product. The project establishes the context for information to be exchanged or shared, and it may represent a construction project but does not have to. The IfcProject's main purpose in an exchange structure is to provide the root instance and the context for all other information items included.",5.1.3.11,"","","1. There shall only be one project within the exchange context. This is enforced by the global rule IfcSingleProjectInstance.","[HasName, CorrectContext, NoDecomposition]","[The Name attribute has to be provided for IfcProject. It is the short name for the project., If a RepresentationContexts relation is provided then there shall be no instance of IfcGeometricRepresentationSubContext directly included in the set of RepresentationContexts., The IfcProject represents the root of the any decomposition tree. It shall therefore not be used to decompose any other object definition.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDefinedBy, Declares]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelDeclares @RelatingContext S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcContext]","[]","[]"
IfcProjectLibrary,"[GlobalId, OwnerHistory, Name, Description, ObjectType, LongName, Phase, RepresentationContexts, UnitsInContext]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcLabel ? FIX, IfcLabel ? FIX, IfcRepresentationContext S[1:?]?, IfcUnitAssignment ?]",IfcContext,NULL,TRUE,"An IfcProjectLibrary collects all library elements that are included within a referenced project data set.",5.1.3.12,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDefinedBy, Declares]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelDeclares @RelatingContext S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcContext]","[]","[]"
IfcPropertyDefinition,"[GlobalId, OwnerHistory, Name, Description]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX]",IfcRoot,"[IfcPropertySetDefinition, IfcPropertyTemplateDefinition]",TRUE,"IfcPropertyDefinition defines the generalization of all characteristics (i.e. a grouping of individual properties), that may be assigned to objects. Currently, subtypes of IfcPropertyDefinition include property set occurrences, property set templates, and property templates.",5.1.3.13,"","",NULL,"[]","[]","[HasContext, HasAssociations]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?]]","[IfcRoot]","[]","[]"
IfcPropertySet,"[GlobalId, OwnerHistory, Name, Description, HasProperties]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcProperty S[1:?]]",IfcPropertySetDefinition,NULL,FALSE,"The IfcPropertySet is a container that holds properties within a property tree.",5.1.3.14,"","",NULL,"[ExistsName, UniquePropertyNames]","[The Name attribute has to be provided. The attribute is used to specify the signifier of the property set. The properties that are allowed to be attached to a particular property set may be given within the property set definition part of the IFC specification. Those property set definitions are references in the semantic definition section of the individal subtypes of IfcObjectDefinition., Every individual subtype of IfcProperty within the property set shall have a unique Name attribute value.]","[HasContext, HasAssociations, DefinesType, IsDefinedBy, DefinesOccurrence]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcTypeObject @HasPropertySets S[0:?], IfcRelDefinesByTemplate @RelatedPropertySets S[0:?], IfcRelDefinesByProperties @RelatingPropertyDefinition S[0:?]]","[IfcRoot, IfcPropertyDefinition, IfcPropertySetDefinition]","[PartOfPset]","[HasProperties ?]"
IfcPropertySetDefinition,"[GlobalId, OwnerHistory, Name, Description]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX]",IfcPropertyDefinition,"[IfcPreDefinedPropertySet, IfcPropertySet, IfcQuantitySet]",TRUE,"IfcPropertySetDefinition is a generalization of all individual property sets that can be assigned to an object or type object.",5.1.3.15,"","",NULL,"[]","[]","[HasContext, HasAssociations, DefinesType, IsDefinedBy, DefinesOccurrence]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcTypeObject @HasPropertySets S[0:?], IfcRelDefinesByTemplate @RelatedPropertySets S[0:?], IfcRelDefinesByProperties @RelatingPropertyDefinition S[0:?]]","[IfcRoot, IfcPropertyDefinition]","[]","[]"
IfcPropertySetTemplate,"[GlobalId, OwnerHistory, Name, Description, TemplateType, ApplicableEntity, HasPropertyTemplates]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcPropertySetTemplateTypeEnum ? FIX, IfcIdentifier ? FIX, IfcPropertyTemplate S[1:?]]",IfcPropertyTemplateDefinition,NULL,FALSE,"IfcPropertySetTemplate defines the template for all dynamically extensible property sets represented by IfcPropertySet. The property set template is a container of property templates within a property tree. The individual property templates are interpreted according to their Name attribute and shall have no values assigned.",5.1.3.16,"","",NULL,"[ExistsName, UniquePropertyNames]","[The Name attribute has to be provided. The attribute is used to specify the signifier of the property set. The properties that are allowed to be attached to a particular property set may be given within the property set definition part of the IFC specification. Those property set definitions are references in the semantic definition section of the individal subtypes of IfcObjectDefinition., Every individual subtype of IfcProperty within the property set shall have a unique Name attribute value.]","[HasContext, HasAssociations, Defines]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByTemplate @RelatingTemplate S[0:?]]","[IfcRoot, IfcPropertyDefinition, IfcPropertyTemplateDefinition]","[PartOfPsetTemplate]","[HasPropertyTemplates ?]"
IfcPropertyTemplate,"[GlobalId, OwnerHistory, Name, Description]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX]",IfcPropertyTemplateDefinition,"[IfcComplexPropertyTemplate, IfcSimplePropertyTemplate]",TRUE,"The IfcPropertyTemplate is an abstract supertype comprising the templates for all dynamically extensible properties, either as an IfcComplexPropertyTemplate, or an IfcSimplePropertyTemplate. ",5.1.3.17,"","",NULL,"[]","[]","[HasContext, HasAssociations, PartOfComplexTemplate, PartOfPsetTemplate]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcComplexPropertyTemplate @HasPropertyTemplates S[0:?], IfcPropertySetTemplate @HasPropertyTemplates S[0:?]]","[IfcRoot, IfcPropertyDefinition, IfcPropertyTemplateDefinition]","[]","[]"
IfcPropertyTemplateDefinition,"[GlobalId, OwnerHistory, Name, Description]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX]",IfcPropertyDefinition,"[IfcPropertySetTemplate, IfcPropertyTemplate]",TRUE,"IfcPropertyTemplateDefinition is a generalization of all property and property set templates. Templates define the collection, types, names, applicable measure types and units of individual properties used in a project.",5.1.3.18,"","",NULL,"[]","[]","[HasContext, HasAssociations]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?]]","[IfcRoot, IfcPropertyDefinition]","[]","[]"
IfcProxy,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, ProxyType, Tag]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcObjectTypeEnum FIX, IfcLabel ? FIX]",IfcProduct,NULL,FALSE,"IfcProxy is intended to be a kind of a container for wrapping objects which are defined by associated properties, which may or may not have a geometric representation and placement in space. A proxy may have a semantic meaning, defined by the Name attribute, and property definitions, attached through the property assignment relationship, which definition may be outside of the definitions given by the current release of IFC.",5.1.3.19,"","",NULL,"[WR1]","[The Name attribute has to be provided for a proxy.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct]","[]","[]"
IfcQuantitySet,"[GlobalId, OwnerHistory, Name, Description]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX]",IfcPropertySetDefinition,"[IfcElementQuantity]",FALSE,"IfcQuantitySet is the the abstract supertype for all quantity sets attached to objects. The quantity set is a container class that holds the individual quantities within a quantity tree. These quantities are interpreted according to their name attribute and classified according to their measure type. Some quantity sets are included in the IFC specification and have a predefined set of quantities indicated by assigning a significant name.",5.1.3.20,"","",NULL,"[]","[]","[HasContext, HasAssociations, DefinesType, IsDefinedBy, DefinesOccurrence]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcTypeObject @HasPropertySets S[0:?], IfcRelDefinesByTemplate @RelatedPropertySets S[0:?], IfcRelDefinesByProperties @RelatingPropertyDefinition S[0:?]]","[IfcRoot, IfcPropertyDefinition, IfcPropertySetDefinition]","[]","[]"
IfcRelAggregates,"[GlobalId, OwnerHistory, Name, Description, RelatingObject, RelatedObjects]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcObjectDefinition, IfcObjectDefinition S[1:?]]",IfcRelDecomposes,NULL,FALSE,"The aggregation relationship IfcRelAggregates is a special type of the general composition/decomposition (or whole/part) relationship IfcRelDecomposes. The aggregation relationship can be applied to all subtypes of IfcObjectDefinition.",5.1.3.21,"","",NULL,"[NoSelfReference]","[The instance to with the relation points shall not be contained in the set of RelatedObjects.]","[]","[]","[IfcRoot, IfcRelationship, IfcRelDecomposes]","[IsDecomposedBy, Decomposes]","[RelatingObject ?, RelatedObjects 1]"
IfcRelAssigns,"[GlobalId, OwnerHistory, Name, Description, RelatedObjects, RelatedObjectsType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcObjectDefinition S[1:?], IfcObjectTypeEnum ? FIX]",IfcRelationship,"[IfcRelAssignsToActor, IfcRelAssignsToControl, IfcRelAssignsToGroup, IfcRelAssignsToProcess, IfcRelAssignsToProduct, IfcRelAssignsToProcedure]",FALSE,"The assignment relationship, IfcRelAssigns, is a generalization of 'link' relationships among instances of IfcObject and its various 1st level subtypes. A link denotes the specific association through which one object (the client) applies the services of other objects (the suppliers), or through which one object may navigate to other objects.",5.1.3.22,"","",NULL,"[WR1]","[Rule checks whether the types of the assigned related objects comply with the contraint given by the RelatedObjectsType. The rule is important for constraint checks at subtypes of IfcRelAssigns or at subtypes of IfcObject; which refers to assignment relationships through the inverse HasAssignments relation.]","[]","[]","[IfcRoot, IfcRelationship]","[HasAssignments]","[RelatedObjects ?]"
IfcRelAssignsToActor,"[GlobalId, OwnerHistory, Name, Description, RelatedObjects, RelatedObjectsType, RelatingActor, ActingRole]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcObjectDefinition S[1:?], IfcObjectTypeEnum ? FIX, IfcActor, IfcActorRole ?]",IfcRelAssigns,NULL,FALSE,"The objectified relationship IfcRelAssignsToActor handles the assignment of objects (subtypes of IfcObject) to an actor (subtypes of IfcActor).",5.1.3.23,"","",NULL,"[NoSelfReference]","[The instance to with the relation points shall not be contained in the set of RelatedObjects.]","[]","[]","[IfcRoot, IfcRelationship, IfcRelAssigns]","[IsActingUpon]","[RelatingActor ?]"
IfcRelAssignsToControl,"[GlobalId, OwnerHistory, Name, Description, RelatedObjects, RelatedObjectsType, RelatingControl]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcObjectDefinition S[1:?], IfcObjectTypeEnum ? FIX, IfcControl]",IfcRelAssigns,NULL,FALSE,"The objectified relationship IfcRelAssignsToControl handles the assignment of a control (represented by subtypes of IfcControl) to other objects (represented by subtypes of IfcObject, with the exception of controls).",5.1.3.24,"","",NULL,"[NoSelfReference]","[The instance to with the relation points shall not be contained in the set of RelatedObjects.]","[]","[]","[IfcRoot, IfcRelationship, IfcRelAssigns]","[Controls]","[RelatingControl ?]"
IfcRelAssignsToGroup,"[GlobalId, OwnerHistory, Name, Description, RelatedObjects, RelatedObjectsType, RelatingGroup]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcObjectDefinition S[1:?], IfcObjectTypeEnum ? FIX, IfcGroup]",IfcRelAssigns,"[IfcRelAssignsToGroupByFactor]",FALSE,"The objectified relationship IfcRelAssignsToGroup handles the assignment of object definitions (individual object occurrences as subtypes of IfcObject, and object types as subtypes of IfcTypeObject) to a group (subtypes of IfcGroup).",5.1.3.25,"","","1. The group assignment relationship shall be acyclic, that is, a group shall not participate in its own grouping relationship.","[]","[]","[]","[]","[IfcRoot, IfcRelationship, IfcRelAssigns]","[IsGroupedBy]","[RelatingGroup ?]"
